timestamp,fecha,mes,dia_semana,dia_semana_num,hora,turno,AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,score_tangibles,score_fiabilidad,score_responsiveness,score_empatia,score_servqual_total,D_1,satisfaccion_nivel,NPS,nps_categoria,C_1,calidad_nivel,INFO,info_nivel,AÑOS,antiguedad_grupo,Giro,Puesto,Estado,Estado_limpio,region,poblacion_millones,pib_per_capita_miles,nivel_economico_estado,lat,long,region_simplificada,Giro_corto
2025-04-01 14:10:11,2025-04-01,4,Tuesday,1,14,Tarde,4,5,3,4,4.0,4,4,5,3,4,4,4,4.5,3.67,4.33,3.75,4.06,8,Alto,8,Pasivo,4,Bueno,9,Bien informado,5,Establecido,Persona física,Persona física,Ciudad de México,Ciudad de México,Centro,9.21,394.0,Alto,19.4326,-99.1332,Centro,Persona física
2025-04-02 17:39:14,2025-04-02,4,Wednesday,2,17,Tarde,4,4,4,2,4.0,3,3,3,4,3,4,5,4.0,3.33,3.0,4.0,3.58,7,Medio,8,Pasivo,4,Bueno,10,Bien informado,2,Nuevo,Asociación civil,Coordinador,Durango,Durango,Norte,1.83,142.0,Medio,24.0277,-104.6532,Norte,Asoc. Civil
2025-04-07 09:41:42,2025-04-07,4,Monday,0,9,Mañana,4,3,4,4,3.0,4,3,3,4,3,3,4,3.5,3.67,3.33,3.5,3.5,8,Alto,10,Promotor,3,Regular,10,Bien informado,14,Veterano,Persona física,Persona física,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Persona física
2025-04-07 10:35:23,2025-04-07,4,Monday,0,10,Mañana,5,5,5,5,5.0,4,5,5,5,5,5,5,5.0,5.0,4.67,5.0,4.92,10,Alto,10,Promotor,5,Bueno,8,Bien informado,15,Veterano,Educación,Coordinador,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Educación
2025-04-07 10:39:22,2025-04-07,4,Monday,0,10,Mañana,3,3,4,4,4.0,3,2,3,4,4,4,4,3.0,4.0,2.67,4.0,3.42,7,Medio,9,Promotor,3,Regular,7,Parcialmente informado,2,Nuevo,Empresa,Coordinador,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Empresa
2025-04-07 10:56:42,2025-04-07,4,Monday,0,10,Mañana,3,4,3,3,4.0,4,3,4,4,3,4,4,3.5,3.33,3.67,3.75,3.56,8,Alto,9,Promotor,4,Bueno,8,Bien informado,3,Establecido,Educación,Coordinador,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Educación
2025-04-07 11:25:25,2025-04-07,4,Monday,0,11,Mañana,4,4,3,4,5.0,4,3,3,5,4,3,2,4.0,4.0,3.33,3.5,3.71,8,Alto,8,Pasivo,3,Regular,8,Bien informado,3,Establecido,Educación,Coordinador,Guanajuato,Guanajuato,Bajío,6.17,157.0,Medio,21.019,-101.2574,Centro,Educación
2025-04-07 11:30:53,2025-04-07,4,Monday,0,11,Mañana,3,2,2,4,3.0,3,4,3,5,3,2,4,2.5,3.0,3.33,3.5,3.08,7,Medio,9,Promotor,3,Regular,7,Parcialmente informado,18,Veterano,Educación,Dueño,Coahuila,Coahuila,Norte,3.15,263.0,Alto,27.0587,-101.7068,Norte,Educación
2025-04-07 11:42:37,2025-04-07,4,Monday,0,11,Mañana,3,2,3,4,3.0,4,4,4,3,4,4,3,2.5,3.33,4.0,3.5,3.33,7,Medio,8,Pasivo,4,Bueno,7,Parcialmente informado,3,Establecido,Teletón (Grupos internos de la Fundación),Coordinador,Hidalgo,Hidalgo,Centro,3.08,115.0,Bajo,20.0911,-98.7624,Centro,Teletón (Grupos internos de la Fundación)
2025-04-07 11:54:32,2025-04-07,4,Monday,0,11,Mañana,4,3,3,3,4.0,3,4,4,3,4,4,3,3.5,3.33,3.67,3.5,3.5,8,Alto,8,Pasivo,3,Regular,8,Bien informado,8,Veterano,Educación,Coordinador,Coahuila,Coahuila,Norte,3.15,263.0,Alto,27.0587,-101.7068,Norte,Educación
2025-04-07 12:02:53,2025-04-07,4,Monday,0,12,Tarde,4,3,4,4,3.0,4,5,4,3,4,3,4,3.5,3.67,4.33,3.5,3.75,7,Medio,8,Pasivo,4,Bueno,8,Bien informado,1,Nuevo,Persona física,Persona física,Estado de México,Estado de México,Centro,16.99,114.0,Bajo,19.4969,-99.7233,Centro,Persona física
